Epoch:72	 Loss:0.325	 lr:0.02000	 acc1:89.900%	 acc5:99.330%
Epoch:73	 Loss:0.359	 lr:0.02000	 acc1:89.340%	 acc5:99.270%
Epoch:74	 Loss:0.345	 lr:0.02000	 acc1:89.650%	 acc5:99.100%
Epoch:75	 Loss:0.354	 lr:0.02000	 acc1:89.020%	 acc5:99.130%
Epoch:76	 Loss:0.356	 lr:0.02000	 acc1:89.580%	 acc5:99.050%
Epoch:77	 Loss:0.372	 lr:0.02000	 acc1:88.770%	 acc5:99.070%
Epoch:78	 Loss:0.419	 lr:0.02000	 acc1:87.790%	 acc5:98.940%
Epoch:79	 Loss:0.374	 lr:0.02000	 acc1:89.020%	 acc5:99.070%
Epoch:80	 Loss:0.340	 lr:0.02000	 acc1:89.450%	 acc5:99.190%
Epoch:81	 Loss:0.426	 lr:0.02000	 acc1:87.720%	 acc5:99.030%
Epoch:82	 Loss:0.335	 lr:0.02000	 acc1:90.190%	 acc5:99.180%
Epoch:83	 Loss:0.432	 lr:0.02000	 acc1:87.400%	 acc5:98.850%
Epoch:84	 Loss:0.470	 lr:0.02000	 acc1:86.700%	 acc5:98.740%
Epoch:85	 Loss:0.566	 lr:0.02000	 acc1:84.670%	 acc5:98.180%
Epoch:86	 Loss:0.360	 lr:0.02000	 acc1:89.220%	 acc5:99.020%
Epoch:87	 Loss:0.568	 lr:0.02000	 acc1:85.460%	 acc5:97.300%
Epoch:88	 Loss:0.359	 lr:0.02000	 acc1:89.340%	 acc5:99.280%
Epoch:89	 Loss:0.373	 lr:0.02000	 acc1:88.950%	 acc5:99.180%
Epoch:90	 Loss:0.368	 lr:0.02000	 acc1:88.890%	 acc5:99.130%
Epoch:91	 Loss:0.393	 lr:0.02000	 acc1:88.420%	 acc5:99.090%
Epoch:92	 Loss:0.346	 lr:0.02000	 acc1:89.670%	 acc5:99.180%
Epoch:93	 Loss:0.427	 lr:0.02000	 acc1:87.780%	 acc5:98.660%
Epoch:94	 Loss:0.374	 lr:0.02000	 acc1:88.900%	 acc5:99.000%
Epoch:95	 Loss:0.347	 lr:0.02000	 acc1:89.400%	 acc5:99.270%
Epoch:96	 Loss:0.390	 lr:0.02000	 acc1:89.070%	 acc5:99.040%
Epoch:97	 Loss:0.367	 lr:0.02000	 acc1:89.460%	 acc5:98.890%
Epoch:98	 Loss:0.358	 lr:0.02000	 acc1:89.440%	 acc5:99.250%
Epoch:99	 Loss:0.392	 lr:0.02000	 acc1:88.660%	 acc5:99.070%
Epoch:100	 Loss:0.338	 lr:0.02000	 acc1:89.430%	 acc5:99.230%
Epoch:101	 Loss:0.423	 lr:0.02000	 acc1:87.960%	 acc5:99.110%
Epoch:102	 Loss:0.386	 lr:0.02000	 acc1:88.680%	 acc5:99.310%
Epoch:103	 Loss:0.473	 lr:0.02000	 acc1:86.800%	 acc5:98.850%
Epoch:104	 Loss:0.341	 lr:0.02000	 acc1:89.890%	 acc5:99.210%
Epoch:105	 Loss:0.349	 lr:0.02000	 acc1:89.610%	 acc5:99.290%
Epoch:106	 Loss:0.344	 lr:0.02000	 acc1:89.970%	 acc5:99.360%
Epoch:107	 Loss:0.357	 lr:0.02000	 acc1:89.380%	 acc5:99.190%
Epoch:108	 Loss:0.367	 lr:0.02000	 acc1:89.710%	 acc5:99.120%
Epoch:109	 Loss:0.395	 lr:0.02000	 acc1:88.570%	 acc5:99.210%
Epoch:110	 Loss:0.381	 lr:0.02000	 acc1:88.940%	 acc5:99.150%
Epoch:111	 Loss:0.336	 lr:0.02000	 acc1:89.870%	 acc5:99.330%
Epoch:112	 Loss:0.379	 lr:0.02000	 acc1:89.240%	 acc5:99.260%
Epoch:113	 Loss:0.385	 lr:0.02000	 acc1:88.870%	 acc5:99.260%
Epoch:114	 Loss:0.454	 lr:0.02000	 acc1:87.520%	 acc5:98.680%
Epoch:115	 Loss:0.379	 lr:0.02000	 acc1:88.600%	 acc5:99.240%
Epoch:116	 Loss:0.537	 lr:0.02000	 acc1:85.690%	 acc5:98.740%
Epoch:117	 Loss:0.400	 lr:0.02000	 acc1:88.710%	 acc5:98.960%
Epoch:118	 Loss:0.357	 lr:0.02000	 acc1:90.010%	 acc5:99.140%
Epoch:119	 Loss:0.362	 lr:0.02000	 acc1:89.440%	 acc5:99.320%
Epoch:120	 Loss:0.374	 lr:0.02000	 acc1:89.120%	 acc5:99.090%
Epoch:121	 Loss:0.254	 lr:0.00400	 acc1:92.760%	 acc5:99.620%
Epoch:122	 Loss:0.261	 lr:0.00400	 acc1:93.010%	 acc5:99.670%
Epoch:123	 Loss:0.266	 lr:0.00400	 acc1:92.960%	 acc5:99.670%
Epoch:124	 Loss:0.279	 lr:0.00400	 acc1:93.030%	 acc5:99.620%
Epoch:125	 Loss:0.276	 lr:0.00400	 acc1:93.200%	 acc5:99.570%
Epoch:126	 Loss:0.280	 lr:0.00400	 acc1:93.310%	 acc5:99.590%
Epoch:127	 Loss:0.279	 lr:0.00400	 acc1:93.110%	 acc5:99.630%
Epoch:128	 Loss:0.297	 lr:0.00400	 acc1:93.300%	 acc5:99.540%
Epoch:129	 Loss:0.300	 lr:0.00400	 acc1:92.940%	 acc5:99.560%
Epoch:130	 Loss:0.298	 lr:0.00400	 acc1:92.950%	 acc5:99.610%
Epoch:131	 Loss:0.311	 lr:0.00400	 acc1:92.770%	 acc5:99.500%
Epoch:132	 Loss:0.298	 lr:0.00400	 acc1:92.950%	 acc5:99.580%
Epoch:133	 Loss:0.303	 lr:0.00400	 acc1:93.180%	 acc5:99.570%
Epoch:134	 Loss:0.305	 lr:0.00400	 acc1:93.260%	 acc5:99.510%
Epoch:135	 Loss:0.324	 lr:0.00400	 acc1:92.870%	 acc5:99.470%
Epoch:136	 Loss:0.311	 lr:0.00400	 acc1:93.140%	 acc5:99.620%
Epoch:137	 Loss:0.311	 lr:0.00400	 acc1:93.110%	 acc5:99.510%
Epoch:138	 Loss:0.318	 lr:0.00400	 acc1:93.200%	 acc5:99.530%
Epoch:139	 Loss:0.312	 lr:0.00400	 acc1:93.020%	 acc5:99.600%
Epoch:140	 Loss:0.311	 lr:0.00400	 acc1:93.240%	 acc5:99.590%
Epoch:141	 Loss:0.319	 lr:0.00400	 acc1:92.880%	 acc5:99.530%
Epoch:142	 Loss:0.305	 lr:0.00400	 acc1:93.000%	 acc5:99.470%
Epoch:143	 Loss:0.319	 lr:0.00400	 acc1:92.790%	 acc5:99.410%
Epoch:144	 Loss:0.315	 lr:0.00400	 acc1:93.060%	 acc5:99.440%
Epoch:145	 Loss:0.322	 lr:0.00400	 acc1:92.670%	 acc5:99.550%
Epoch:146	 Loss:0.329	 lr:0.00400	 acc1:92.510%	 acc5:99.500%
Epoch:147	 Loss:0.323	 lr:0.00400	 acc1:92.870%	 acc5:99.580%
Epoch:148	 Loss:0.326	 lr:0.00400	 acc1:93.060%	 acc5:99.460%
Epoch:149	 Loss:0.323	 lr:0.00400	 acc1:92.840%	 acc5:99.510%
Epoch:150	 Loss:0.316	 lr:0.00400	 acc1:93.100%	 acc5:99.490%
Epoch:151	 Loss:0.326	 lr:0.00400	 acc1:92.760%	 acc5:99.440%
Epoch:152	 Loss:0.334	 lr:0.00400	 acc1:92.770%	 acc5:99.460%
Epoch:153	 Loss:0.330	 lr:0.00400	 acc1:92.760%	 acc5:99.590%
Epoch:154	 Loss:0.338	 lr:0.00400	 acc1:92.770%	 acc5:99.380%
Epoch:155	 Loss:0.329	 lr:0.00400	 acc1:92.590%	 acc5:99.460%
Epoch:156	 Loss:0.315	 lr:0.00400	 acc1:92.870%	 acc5:99.500%
Epoch:157	 Loss:0.336	 lr:0.00400	 acc1:92.470%	 acc5:99.470%
Epoch:158	 Loss:0.332	 lr:0.00400	 acc1:92.640%	 acc5:99.470%
Epoch:159	 Loss:0.334	 lr:0.00400	 acc1:92.580%	 acc5:99.500%
